BALLOT BREAST elect
CHARGE ADVENTURE electric
AMP BURY electricity
HUSK TUNNEL elephant
UP VIOLENT elevator
SEVEN HOUSE eleven
DEGRADE STAIRWAY embarrass
SIREN WASTE emergency
EXPRESSION STORAGE emotion
DYNASTY SCAR empire
BOSS RIDICULE employer
WITHOUT BLUBBER empty
RECOMMEND POLITICIAN encourage
SUMMARY NITROGEN end
NERVES BAKER ending
FRIENDSHIP BACK enemy
ENERGETIC SWEETHEART energy
ROYAL BANKER england
COMMA NOTIFY english
INCREASE MINTS enlarge
OFTEN CHRISTIAN enough
ENTRY EMPIRE enter
POLLUTION BOSS environment
EXPLODE MEDIOCRE erupt
TRUCE SHELF even
TRACE ROYAL evidence
HARM POISON evil
IDENTICAL WEAR exact
INSTANCE ERUPT example
FUN GUARD excited
EXPLAIN ANTLER excuse
HEADBAND VEHICLE exercise
BREATHE GRAVY exhale
ESCAPE STING exit
TEXT RESEARCH expensive
PROCEDURE UPSTAIRS experiment
JUSTIFY TAR explain
ATOMIC LUGGAGE explode
POPULATION BRANDY explosion
EXIST WEAK extinct
OUTGOING EXPLODE extrovert
LOOK MOOSE eye
WAKE LUBRICATE eyes
POWDER ANTIQUE face
FASHION CLEVER fad
CHEAT CRITICIZE fail
FLUNK RACE failure
LIGHTHEADED METHODIST faint
JUSTICE REVOLUTION fair
TRUST HEARING faith
MIMIC MORAL fake
STAND HUSTLE fall
PHONY FORTUNE false
HOME STYLE family
ECSTASY PROTECT fantasy
LOCAL MONUMENT far
ROOSTER ATTENDANCE farm
ORDERLY COMMAND fashion
HUSTLE MARINES fast
WEIGH SPIT fat
NUN DECORATION father
SCREAM PRESENCE fear
STROKE BANDANNA feel
JEALOUSY ETHICS feeling
WEB SPELL feet
ATTRACTIVE WRAP female
BOUNDARY CHROMOSOMES fence
CALORIES INVALID few
FAIRYTALE STEAK fiction
FOOTBALL SURPRISE field
SCAR STALK fight
LOVER DOVE fighter
REEL STOLEN film
HUNT ECONOMY find
APPENDAGE COMEDY finger
ADJOURN GOD finish
THROUGH HABIT finished
ENGINE PIN fire
MAIN POKER first
FOND ACCURATE fish
SAILING PRINTER fishing
GRASP TUMBLE fist
NICKEL WAGON five
BROKEN VISIT fix
MAILBOX BATH flag
DANDRUFF EXISTENCE flakes
FLING RODENT flirt
TREAD ATTEMPT float
BOTTOM WEB floor
FLAP PROPERTY flop
HEAT SEW florida
