"Prime","TargetWord","index","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.LDT.RT","PELP.LDT.Z","PELP.LDT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","LDT.200ms.RT","LDT.200ms.Z","LDT.200ms.Acc","LDT.1200ms.RT","LDT.1200ms.Z","LDT.1200ms.Acc","LDT.200ms.RT.Priming","LDT.200ms.Z.Priming","LDT.200ms.Acc.Priming","LDT.1200ms.RT.Priming","LDT.1200ms.Z.Priming","LDT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y","X.x","TCosine_Set","Traw_feat_set","Troot_feat_set","X.y","PCosine_Set","Praw_feat_set","Proot_feat_set"
"heat","florida","heat.florida",4,40.08,3.31,10.25,11,3,7745,2581.67,"NN|VB",564.71,-0.77,1,"perceptual property","",0.027,0,16,0.03,627.375,-0.144810042444638,0.96875,718,0.10589250803053,0.875,106.59375,0.291458087541995,0,-12,0.0466628337553058,0.025,7,18.39,2.97,10.18,0,NA,8950,1491.67,"NN",567.16,-0.78,0.97,24,"florida","heat",0.362336899672038,0.25948389671866,0.0038831510982468,"0.253579994","NULL","NULL","NULL","NULL","florida","heat",0.822594,"heat","florida",0.027,"0","3.0000000000000001E-3","2.4899999999999999E-2",16,97,"4.84","N","16","20","6.1","N","heat","florida",0.027,0,0.003,"4.84","6.1",97,20,19.894163,0.032865,1566,100,36,17,1899,70,25,11
"heavy","weight","heavy.weight",5,47.29,3.38,10.4,2,0,3956,989,"JJ|NN|RB",566.58,-0.81,0.97,"fpa","",0.104,0.19,16,0.38,622.838709677419,-0.51472940510443,0.967741935483871,559.4375,-0.492579879672294,1,49.6129032258065,0.09669781505527,-0.0322580645161291,58.6270161290323,0.164582672855681,0,6,36.27,3.27,10.43,3,0,2423,484.6,"NN|VB",544.06,-0.79,1,44,"heavy","weight",0.261193555538422,0.114167030265511,0.135327852880654,"0.041203044","15.85188","0.326192","0.104","0.19","weight","heavy",0.633921,"heavy","weight",0.104,"0.19","2E-3","8.0999999999999996E-3",16,110,"4.09","AJ","14","91","4.3499999999999996","N","heavy","weight",0.104,0.19,0.002,"4.09","4.35",110,91,15.85188,0.326192,4324,26,22,8,1902,166,27,11
"hedge","clipper","hedge.clipper",5,1.55,1.9,6.68,2,2,7583,1895.75,"NN|VB",677.37,-0.26,0.88,"instrument","",0.047,NA,16,0.06,700.5,0.12263178630446,0.96875,705.096774193548,0.397599449915594,0.935483870967742,45.8548387096774,0.253733281926821,0.03125,46.6532258064516,0.169297647207831,0.0645161290322581,7,1.16,1.78,8.32,5,0,12184,2030.67,"NN",635.3,-0.63,0.97,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"clipper","hedge",0.888258,"hedge","clipper",0.047,"NULL","NULL","NULL",16,2,"NULL","N","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786,34,12,6,1903,6,12,5
"heel","toe","heel.toe",4,7.39,2.58,8.38,7,2,4353,1451,"NN",582.9,-0.69,0.97,"category","",0.196,0.014,10,0.67,596.181818181818,-0.299393757953226,0.96969696969697,651.709677419355,-0.360579996032444,0.967741935483871,38.3494318181819,0.282381355043159,-0.0321969696969697,-11.0430107526882,0.0658460536583173,-0.119257086999022,3,12.69,2.81,8.42,17,9,1512,756,"NN|VB",606.69,-0.59,0.97,11,"heel","toe",0.605722342617171,0.605722342617171,0,"NULL","9.631128","0.603492","0.196","0.014","toe","heel",0.489446,"heel","toe",0.196,"1.4E-2","5.3999999999999999E-2","0.13850000000000001",10,9,"5.75","N","7","9","5.96","N","heel","toe",0.196,0.014,0.054,"5.75","5.96",9,9,9.631128,0.603492,4022,32,36,36,1904,22,5,5
"height","length","height.length",6,9.33,2.68,9.4,1,1,3688,737.6,"NN",624.62,-0.65,1,"antonym","",0.03,0.035,6,0.56,672.90625,0.0204630122201271,0.96875,661.5625,-0.318716905150685,0.96875,-49.4868951612904,-0.113229831531918,0.03125,-35.7443181818181,0.100126307921149,0.03125,6,7.02,2.56,10.84,0,NA,12502,2500.4,"NN",658.03,-0.6,0.94,15,"height","length",0.576364955961489,0.463405655463061,0.74517537222625,"NULL","5.191165","0.506982","0.03","0.035","length","height",0.503192,"height","length",0.03,"3.5000000000000003E-2","0","2.8999999999999998E-3",6,35,"3.85","N","13","116","3.75","N","height","length",0.03,0.035,0,"3.85","3.75",35,116,5.191165,0.506982,2271,25,21,8,1905,12,10,5
"heights","mountains","heights.mountains",7,7.37,2.58,8.34,1,0,4694,782.33,"NN",594.21,-0.64,1,"perceptual property","",0.088,NA,17,0.17,764.96875,0.182065523332959,1,806.1875,0.103568985847993,0.9375,-83.710685483871,-0.286820621161109,0,-193.09375,-0.190091779003105,0.0625,9,18.65,2.98,9.12,1,0,19060,2382.5,"NN",616.65,-0.56,1,4,"heights","mountains",0.294780136191787,0.334667922295364,0,"NULL","NULL","NULL","0.088","null","mountains","heights",0.71435,"heights","mountains",0.088,"NULL","NULL","NULL",17,23,"3.33","N","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2560,18,14,5,1906,36,16,7
"hell","devil","hell.devil",4,470.82,4.38,11.03,16,4,5100,1700,"NN|minor",606.15,-0.69,1,"script","",0.138,0.06,13,0.63,639.967741935484,-0.0874959216797557,0.967741935483871,619.354838709677,-0.26623496150269,0.967741935483871,-46.9354838709678,-0.0135147940475466,0,17.9264112903226,0.0378106327755476,0.001008064516129,5,41.33,3.32,9.02,0,NA,5280,1320,"NN",635.24,-0.69,1,15,"devil","hell",0.157079135619297,0.134450732243628,0,"0.251355907","18.982536","0.532943","0.06","0.138","devil","hell",0.530692,"hell","devil",0.138,"0.06","3.2000000000000001E-2","1.26E-2",13,95,"3.62","N","11","25","2.13","N","hell","devil",0.138,0.06,0.032,"3.62","2.13",95,25,18.982536,0.532943,1145,33,10,7,1910,63,17,10
"help","need","help.need",4,921.12,4.67,12.72,7,0,3566,1188.67,"VB|NN",601.97,-0.63,0.94,"bpa","",0.033,0.02,23,0.54,624.612903225806,-0.546579599746606,0.935483870967742,577.272727272727,-0.567523190325659,0.96969696969697,48.6995967741935,0.507235734029846,0.0645161290322581,191.008522727273,0.280852121633525,-0.0634469696969697,4,1294.9,4.82,12.94,7,0,7630,2543.33,"NN|VB",613.64,-0.67,0.97,32,NA,NA,0,0,0,NA,NA,NA,NA,NA,"need","help",0.352239,"help","need",0.033,"0.02","0","0",23,311,"2.82","V","8","360","3.1","V","help","need",0.033,0.02,0,"2.82","3.1",311,360,11.469205,0.432487,2615,34,12,8,1913,18,19,5
"hem","leg","hem.leg",3,0.82,1.63,7.49,9,7,2760,1380,"NN|VB",742.29,-0.18,0.64,"unclassified","",0.012,0,11,0.26,605.878787878788,-0.158379790035157,0.96969696969697,657.58064516129,-0.281370802881348,0.935483870967742,-16.3949169110459,0.0179502820612467,-0.00195503421309873,-32.5503421309874,-0.163013947929715,0.0645161290322581,3,56.51,3.46,9.79,12,4,3850,1925,"NN|VB",554.91,-0.78,0.97,40,NA,NA,0,0,0,NA,NA,NA,NA,NA,"leg","hem",0.803239,"hem","leg",0.012,"0","0","0",11,4,"4.83","N","10","58","6.04","N","hem","leg",0.012,0,0,"4.83","6.04",4,58,12.449114,0.208469,2263,280,63,43,1915,21,11,5
"her","she","her.she",3,2835.82,5.16,13.3,6,0,7911,3955.5,"minor",610.56,-0.66,1,"synonym","",0.149,0.123,8,0.98,609.59375,-0.264932517864325,1,636.193548387097,-0.186954054738842,0.967741935483871,44.78125,0.285355736173215,-0.09375,163.806451612903,0.46520896076707,-0.067741935483871,3,3732.88,5.28,13.1,4,2,3044,1522,"minor",582.03,-0.74,0.97,3,"her","she",0.869916373780085,0.851678189625998,0.367529715764152,"0.79831633","NULL","NULL","0.149","0.123","her","she",0.132889,"her","she",0.149,"0.123","1.0999999999999999E-2","1.32E-2",8,3037,"NULL","N","5","2859","4.0199999999999996","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,8,13,5,1917,15,12,5
"herb","garden","herb.garden",4,4.98,2.41,8.31,5,2,8173,2724.33,"NN",648.94,-0.45,0.94,"fpa","",0.06,0,17,0.3,659.78125,-0.0896662540318168,1,713.967741935484,-0.244948728468935,1,25.75,0.0547952898738544,0,68.4989247311828,0.504281357501873,0,6,26.55,3.13,9.33,2,0,10624,2124.8,"NN|VB",579,-0.75,1,28,"garden","herb",0.317445799854052,0.0774926581449012,0,"NULL","NULL","NULL","NULL","NULL","garden","herb",0.609628,"herb","garden",0.06,"0","2E-3","1.11E-2",17,7,"5.54","N","14","60","5.92","N","herb","garden",0.06,0,0.002,"5.54","5.92",7,60,15.546539,0.269211,1691,64,14,5,1918,107,23,10
"herd","buffalo","herd.buffalo",4,7.06,2.56,7.74,9,8,8539,2846.33,"NN|VB",608.45,-0.49,0.97,"script","",0.069,0,8,0.68,731.3125,-0.0523946559344159,1,621.8125,-0.0751183581731167,0.96875,0.625,0.254838421113631,0,203.90625,0.168398142401255,0,7,11.9,2.78,9.03,0,NA,6007,1001.17,"NN",643.48,-0.43,0.97,5,"herd","buffalo",0.233853964481852,0,0,"NULL","21.24992","0.636116","0.069","0","buffalo","herd",0.661789,"herd","buffalo",0.069,"0","0","4.3299999999999998E-2",8,22,"5.05","N","21","16","6.53","N","herd","buffalo",0.069,0,0,"5.05","6.53",22,16,21.24992,0.636116,525,413,42,27,1919,28,8,6
"heroin","drugs","heroin.drugs",6,9.82,2.7,8.19,2,1,17299,3459.8,"NN",704.44,-0.27,1,"supraordinate","",0.125,0,13,0.93,613.181818181818,-0.288832565249045,1,631.09375,-0.20398409921079,1,18.8806818181819,0.0449596810774248,-0.03125,-27.75,-0.192809374560602,0,5,48.31,3.39,10.32,2,0,1650,412.5,"NN|VB",598.94,-0.58,1,34,"drugs","heroin",0.324646401692225,0.243500194136079,0.724084678762464,"NULL","NULL","NULL","NULL","NULL","drugs","heroin",0.285555,"heroin","drugs",0.125,"0","1.7000000000000001E-2","3.0000000000000001E-3",13,2,"6.25","N","28","28","NULL","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274,9,16,7,1922,4,12,5
"hinge","swing","hinge.swing",5,0.57,1.48,6.86,3,0,13111,3277.75,"NN|VB",733.2,-0.23,0.91,"unclassified","",0.094,0,6,0.43,596.0625,-0.143520909171807,0.96875,726.151515151515,-0.245056388325459,1,74.4858870967742,-0.0182751990968405,0.03125,-23.7575757575758,0.487869459699538,-0.0303030303030303,5,25.98,3.12,8.95,6,0,11478,2869.5,"NN|VB",663.36,-0.47,0.97,16,NA,NA,0,0,0,NA,NA,NA,NA,NA,"swing","hinge",0.735574,"hinge","swing",0.094,"0","1E-3","8.8000000000000005E-3",6,1,"5.08","N","22","24","5.08","V","hinge","swing",0.094,0,0.001,"5.08","5.08",1,24,14.400922,0.369116,3887,26,23,8,1938,115,17,8
"history","war","history.war",7,83.92,3.63,11.38,0,NA,12164,2027.33,"NN",613.79,-0.67,1,"unclassified ","",0.035,0,21,0.29,582,-0.452168488450452,0.967741935483871,676.1875,-0.283311588409241,1,61.28125,0.193262280293075,0.032258064516129,12.4576612903226,0.358488311527305,-0.032258064516129,3,174.75,3.95,11.6,14,3,3629,1814.5,"NN|VB",580.72,-0.62,0.97,72,NA,NA,0,0,0,NA,NA,NA,NA,NA,"war","history",0.719016,"history","war",0.035,"0","0","0",21,286,"3.03","N","19","464","4.7300000000000004","N","history","war",0.035,0,0,"3.03","4.73",286,464,15.662198,0.231722,4287,9,19,8,1942,17,11,6
"hitch","trailer","hitch.trailer",5,4.08,2.32,7.37,7,6,5019,1254.75,"NN|VB",684.17,-0.4,0.88,"bpa","",0.092,0.156,13,0.38,639.78125,-0.1261911532754,1,702.34375,0.149177142261807,0.96875,85.125,0.443165161705068,-0.0625,-14.2792338709677,-0.0735395032316798,-0.0332661290322581,7,11.35,2.76,8.37,3,0,16727,2787.83,"NN",607.81,-0.61,0.94,5,NA,NA,0,0,0,NA,NA,NA,NA,NA,"trailer","hitch",0.600964,"hitch","trailer",0.092,"0.156","1E-3","2.0999999999999999E-3",13,5,"NULL","V","14","11","5.84","N","hitch","trailer",0.092,0.156,0.001,"NULL","5.84",5,11,16.078204,0.325019,4067,38,18,18,1944,6,12,5
"home","family","home.family",4,774.33,4.6,12.16,9,2,4152,1384,"NN|VB|RB",569.47,-0.78,0.97,"script","",0.061,0.101,15,0.35,688.84375,-0.345529444347094,0.96875,647,0.0766445352841587,1,-42.8114919354839,0.115802775758391,0.03125,-53.78125,-0.516519629857536,-0.03125,6,354.25,4.26,11.39,0,NA,5721,1144.2,"NN",622.03,-0.61,1,56,NA,NA,0,0,0,NA,NA,NA,NA,NA,"family","home",0.503006,"home","family",0.061,"0.10100000000000001","1.0999999999999999E-2","1.49E-2",15,547,"6.25","N","25","331","5.85","N","home","family",0.061,0.101,0.011,"6.25","5.85",547,331,0,0.260082,1466,49,38,16,1954,25,12,7
"honesty","virtue","honesty.virtue",7,7.22,2.57,8.59,0,NA,16831,2805.17,"NN",596.58,-0.63,0.94,"supraordinate","",0.027,0.021,16,0.41,740.21875,0.633147747867875,0.84375,712.757575757576,0.187300842103441,0.96969696969697,100.394153225806,-0.0544967631423118,-0.00504032258064513,-5.69696969696975,0.146579525622435,-0.0909090909090909,6,5.16,2.42,8.42,0,NA,3731,746.2,"NN",644.97,-0.56,1,6,"honesty","virtue",0.304183298309192,0.312534456097963,0.121300618684014,"0.158141465","4.914585","0.323513","0.027","0.021","virtue","honesty",0.634785,"honesty","virtue",0.027,"2.1000000000000001E-2","0","2.5600000000000001E-2",16,10,"2.69","N","22","30","1.46","N","honesty","virtue",0.027,0.021,0,"2.69","1.46",10,30,4.914585,0.323513,4253,6,15,5,1958,58,19,8
"horn","instrument","horn.instrument",4,21.08,3.03,9.12,6,1,4421,1473.67,"NN",553.29,-0.71,1,"supraordinate","",0.027,0,15,0.28,704.28125,0.202983819660437,0.9375,784.0625,0.43802636238501,0.9375,86.5625,0.412484847845574,0.03125,-6.94128787878788,0.0611988020998223,0.0321969696969697,10,8.1,2.62,9.22,0,NA,23888,2654.22,"NN",758.44,-0.15,0.94,34,NA,NA,0,0,0,NA,NA,NA,NA,NA,"instrument","horn",0.729601,"horn","instrument",0.027,"0","8.9999999999999993E-3","5.5999999999999999E-3",15,31,"5.91","N","14","47","6.25","N","horn","instrument",0.027,0,0.009,"5.91","6.25",31,47,3.019287,0.251689,2087,41,19,10,1969,111,14,7
"hornet","sting","hornet.sting",6,1.33,1.84,8.23,2,0,8050,1610,"NN",751.28,-0.13,0.85,"fpa","",0.141,0,8,0.44,653.424242424242,-0.0741156882019462,0.939393939393939,614.09375,-0.14615237321158,0.96875,51.4848484848485,0.335738017907846,0,156.96875,0.353829316579772,-0.03125,5,7.02,2.56,7.98,6,1,19156,4789,"NN|VB",597.09,-0.54,1,8,NA,NA,0,0,0,NA,NA,NA,NA,NA,"sting","hornet",0.799386,"hornet","sting",0.141,"0","0.23200000000000001","0.2792",8,0,"6.37","N","9","5","4.5199999999999996","V","hornet","sting",0.141,0,0.232,"6.37","4.52",0,5,25.342761,0.38757,3765,16,12,5,1970,50,13,12
"hostage","prisoner","hostage.prisoner",7,14.57,2.87,7.16,1,1,9476,1579.33,"NN",790.67,-0.23,0.97,"synonym","",0.092,0.038,24,0.14,696.181818181818,0.0801349570648252,0.96969696969697,710.53125,0.250919401956594,1,12.8181818181819,0.0452408816586128,-0.0634469696969697,128.711174242424,0.222427157281525,0,8,23.14,3.07,8.41,0,NA,20802,2971.71,"NN",675.45,-0.3,1,14,"hostage","prisoner",0.286900290409418,0.258368134366514,0.324988114006646,"NULL","2.545533","0.096395","0.092","0.038","prisoner","hostage",0.56391,"hostage","prisoner",0.092,"3.7999999999999999E-2","0","1.2999999999999999E-3",24,2,"6.05","N","16","7","6.45","N","hostage","prisoner",0.092,0.038,0,"6.05","6.45",2,7,2.545533,0.096395,3058,38,29,15,1977,29,11,6
"hotter","summer","hotter.summer",6,4.67,2.38,7.29,5,1,13328,2665.6,"JJ",745.9,-0.13,0.91,"perceptual property","",0.027,0,15,0.25,708.90625,-0.166734539014596,0.9375,705.8125,0.0938436316046293,1,-78.3125,-0.115139062390209,0.0625,-7.34375,-0.345755041127952,0,6,78.67,3.6,10.45,3,0,9775,1955,"NN|JJ",592.36,-0.66,0.97,20,"hotter","summer",0.307756171084488,0.250667766117977,0.0792878936082974,"NULL","NULL","NULL","0.027","0","summer","hotter",0.666258,"hotter","summer",0.027,"0","4.0000000000000001E-3","1.03E-2",15,7,"4.2300000000000004","AJ","10","134","4.68","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3845,36,27,12,1981,39,16,8
"hound","blood","hound.blood",5,5.04,2.41,7.85,7,6,6487,1621.75,"NN|VB",607.69,-0.58,1,"bpa","",0.014,0.011,5,0.04,577.46875,-0.298131501772541,1,733.96875,-0.194743521190938,0.96875,68.5,0.0523431017671643,-0.0625,-56.75,-0.206122780603711,0.03125,5,186.12,3.98,10.86,4,0,4110,1027.5,"NN",571.97,-0.73,1,73,NA,NA,0,0,0,NA,NA,NA,NA,NA,"blood","hound",0.853206,"hound","blood",0.014,"1.0999999999999999E-2","0","0",5,7,"6.83","N","20","121","6.55","N","hound","blood",0.014,0.011,0,"6.83","6.55",7,121,13.995801,0.025419,405,41,13,8,1982,117,15,7
"hours","long","hours.long",5,214.88,4.04,11.25,5,0,5692,1423,"NN",599.85,-0.69,1,"bpa","",0.041,0,15,0.39,667.258064516129,-0.154801792372401,0.967741935483871,605.375,-0.510792006679437,1,103.835685483871,0.100208617301362,0.032258064516129,-16.96875,0.211912770582314,0,4,675.16,4.54,12.52,7,0,9994,3331.33,"JJ|RB|NN|VB",659.47,-0.48,0.94,93,NA,NA,0,0,0,NA,NA,NA,NA,NA,"long","hours",0.496951,"hours","long",0.041,"0","6.0000000000000001E-3","4.5999999999999999E-3",15,175,"2.93","N","13","755","3.68","AJ","hours","long",0.041,0,0.006,"2.93","3.68",175,755,8.173006,0.32339,2336,11,6,5,1984,43,23,10
"house","brick","house.brick",5,514,4.42,11.55,5,0,6368,1592,"NN",494,-1,1,"bpa","",0.012,0.404,13,0.28,659.125,-0.23974476856021,0.96875,678.90625,-0.0252219348752192,0.96875,105.6875,0.660194107917911,-0.03125,40.3058712121212,0.0321579522357321,-0.0596590909090909,5,10.18,2.72,8.29,6,1,6683,1670.75,"NN",586,-0.72,0.97,14,NA,NA,0,0,0,NA,NA,NA,NA,NA,"brick","house",0.659878,"house","brick",0.012,"0.40400000000000003","1E-3","2.9999999999999997E-4",13,591,"6.21","N","14","18","5.97","N","house","brick",0.012,0.404,0.001,"6.21","5.97",591,18,13.591758,0.251945,493,66,10,9,1985,193,32,22
"how","who","how.who",3,3056.22,5.19,13.52,16,0,1880,940,"minor",599.37,-0.66,0.91,"unclassified","",0.02,0,13,0.48,646.5,-0.0213294762705211,1,623.903225806452,-0.408922625576793,0.935483870967742,-16.03125,-0.202326330267731,-0.03125,187.815524193548,0.524507064246776,0.0332661290322581,3,2222.94,5.05,13.74,2,0,1426,713,"minor",643.61,-0.6,0.97,8,"how","who",0.231392580108599,0,0,"NULL","NULL","NULL","0.02","0","who","how",0.482928,"how","who",0.02,"0","0.01","4.6899999999999997E-2",13,834,"1.57","AD","11","2252","2.2799999999999998","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4345,7,8,5,1987,14,11,5
"hug","arms","hug.arms",3,19.33,2.99,8.24,15,4,607,303.5,"NN|VB",559.81,-0.75,0.94,"functional property","",0.011,0.021,13,0.32,726.9375,-0.202979107616892,0.96875,675.90625,-0.0737597164152099,0.9375,-20.1633064516129,0.0900923966780093,-0.001008064516129,-19.15625,0.0898653118571489,0.03125,4,59.8,3.48,10.4,6,1,3745,1248.33,"NN|VB",589.11,-0.73,1,11,NA,NA,0,0,0,NA,NA,NA,NA,NA,"hug","arms",0.623235,"hug","arms",0.011,"2.1000000000000001E-2","0","0",13,3,"5.34","V","11","121","NULL","N","hug","arms",0.011,0.021,0,"5.34","NULL",3,121,21.059282,0.302464,172,311,32,16,1989,91,29,11
"hung","up","hung.up",4,28.16,3.16,9.05,7,3,6065,2021.67,"VB|NN",631.97,-0.62,0.91,"fpa","",0.034,0,19,0.62,622.225806451613,-0.067934241398245,0.935483870967742,809.58064516129,-0.12153417310599,0.870967741935484,60.9304435483871,0.0276676774824639,0.0645161290322581,-144.550342130987,-0.0898755040827666,0.0987292277614858,2,3670,5.27,13.74,1,0,403,403,"minor|VB|JJ|RB",617.83,-0.76,0.91,122,NA,NA,0,0,0,NA,NA,NA,NA,NA,"up","hung",0.657729,"hung","up",0.034,"0","4.0000000000000001E-3","0",19,65,"3.88","V","5","1895","3.8","AD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4195,15,11,7,1996,14,10,5
"hunger","africa","hunger.africa",6,5.88,2.48,8.04,3,1,13438,2687.6,"NN|VB",580.15,-0.58,1,"perceptual property","",0.011,0,15,0.09,760,0.630636219373498,0.909090909090909,699.96875,0.241435251661509,1,-70.2258064516129,-0.626752743556545,0.0586510263929619,-41.0655241935484,-0.0386462766379138,-0.0645161290322581,6,18.76,2.98,9.75,0,NA,7579,1515.8,"NN",683.91,-0.31,0.97,15,NA,NA,0,0,0,NA,NA,NA,NA,NA,"africa","hunger",0.777273,"hunger","africa",0.011,"0","0","0",15,17,"4.16","N","16","45","5.92","N","hunger","africa",0.011,0,0,"4.16","5.92",17,45,22.247931,0.079702,62,69,12,6,1997,100,12,5
"hungry","full","hungry.full",6,77.08,3.59,8.75,0,NA,7447,1489.4,"JJ",566.41,-0.74,0.97,"antonym","",0.089,0.013,12,0.23,598.757575757576,-0.505175690244466,1,591.870967741935,-0.388283737742095,0.967741935483871,76.3361742424242,0.387862470780386,0,85.5977822580645,0.340825513441149,0.001008064516129,4,166.9,3.93,11.96,14,0,3061,1020.33,"JJ|RB",597.63,-0.58,0.94,28,NA,NA,0,0,0,NA,NA,NA,NA,NA,"full","hungry",0.748861,"hungry","full",0.089,"1.2999999999999999E-2","0","6.4999999999999997E-3",12,23,"4.24","AJ","11","230","3.74","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1662,4,14,8,1998,102,11,5
"hunt","find","hunt.find",4,25.86,3.12,9.64,8,1,5164,1721.33,"NN|VB",584.76,-0.76,1,"unclassified","",0.058,0,17,0.25,649.451612903226,-0.169782844320341,0.935483870967742,621.15625,-0.379593613057302,0.9375,-84.9354838709678,-0.0298779404298932,0.0645161290322581,51.8125,0.350315051785632,0.0625,4,830.96,4.63,12.84,13,0,9457,3152.33,"VB|NN",619.56,-0.62,0.94,26,"find","hunt",0.48385031186924,0.447297060903736,0,"NULL","NULL","NULL","NULL","NULL","find","hunt",0.605203,"hunt","find",0.058,"0","2.1000000000000001E-2","8.9999999999999998E-4",17,10,"4.12","V","11","399","5.86","V","hunt","find",0.058,0,0.021,"4.12","5.86",10,399,6.58575,0.209659,1524,151,34,26,1999,36,11,7
"hurry","slow","hurry.slow",5,173.65,3.95,8.54,3,1,2856,714,"NN|VB",598.53,-0.6,1,"antonym","",0.052,0,9,0.28,669.818181818182,0.0457525888470042,1,795.903225806452,0.133204024193745,1,-54.8181818181819,-0.314172735719412,0,-128.721407624633,-0.333258812753204,-0.0303030303030303,4,76.02,3.59,10.69,13,1,2585,861.67,"JJ|VB|NN",599.76,-0.84,1,49,"hurry","slow",0.549761702546159,0.60274230602311,0.116809120829303,"0.598774939","16.151436","0.219379","0.052","0","slow","hurry",0.570648,"hurry","slow",0.052,"0","0.214","0.1643",9,36,"2.77","V","11","60","2.89","AJ","hurry","slow",0.052,0,0.214,"2.77","2.89",36,60,16.151436,0.219379,3582,62,12,6,2002,69,16,5
"husk","elephant","husk.elephant",4,0.41,1.34,5.59,7,4,1984,661.33,"NN",623.68,-0.5,1,"unclassified","",0.015,0,8,-0.02,602.34375,-0.0883024483742173,0.96875,680.645161290323,-0.40949931555653,0.967741935483871,26.7852822580645,-0.102507116633568,-0.001008064516129,-27.8326612903226,0.126597093718057,-0.061491935483871,8,11.37,2.76,8.86,0,NA,14022,2003.14,"NN",668.52,-0.41,0.94,19,NA,NA,0,0,0,NA,NA,NA,NA,NA,"elephant","husk",0.859772,"husk","elephant",0.015,"0","0","7.7999999999999996E-3",8,0,"4.12","N","19","7","7","N","husk","elephant",0.015,0,0,"4.12","7",0,7,19.104386,-0.014036,1330,277,57,41,2005,17,6,5
"husky","boys","husky.boys",5,1.59,1.91,6.57,3,0,2077,519.25,"JJ",729.94,-0.36,0.97,"unclassifed","",0.014,0,12,0.11,624.84375,-0.382257578700737,0.96875,708.875,-0.255230991948865,1,-87.5710227272727,-0.25859414416115,0.03125,-125.375,-0.0796248751852388,0,4,224.16,4.06,10.08,7,0,1137,379,"NN",688.31,-0.6,0.97,15,NA,NA,0,0,0,NA,NA,NA,NA,NA,"boys","husky",0.734236,"husky","boys",0.014,"0","0","0",12,3,"NULL","AJ","9","143","6.93","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,15,10,5,2006,61,9,6
"hustle","fast","hustle.fast",6,7.88,2.61,6.67,3,0,9159,1831.8,"VB|NN",633.82,-0.39,0.97,"synonym","",0.111,0,10,0.1,640.09375,-0.161232345019437,0.96875,687.333333333333,-0.167291197629827,1,8.48689516129036,-0.221178743254738,0.03125,-57.939393939394,-0.106420398287798,0,4,137.45,3.85,11.25,11,3,5445,1815,"RB|JJ",522.32,-0.84,0.97,85,"fast","hustle",0.269338952141697,0.134127526827728,0,"NULL","NULL","NULL","NULL","NULL","fast","hustle",0.760086,"hustle","fast",0.111,"0","6.2E-2","4.3E-3",10,2,"3.37","V","7","78","2.93","AJ","hustle","fast",0.111,0,0.062,"3.37","2.93",2,78,14.842961,0.05277,1480,78,26,7,2007,93,14,8
"hygiene","toothbrush","hygiene.toothbrush",7,2.12,2.04,6.85,0,NA,8191,1365.17,"NN",901.43,0.11,0.91,"functional property","",0.02,0.029,16,0.59,645.90625,-0.265955742171947,1,642.870967741935,-0.0143940822804038,1,87.46875,0.62973103602718,0,26.0078201368524,-0.111685291597544,-0.121212121212121,10,5,2.41,6.33,0,NA,8562,951.33,"NN",622.69,-0.53,1,4,"hygiene","toothbrush",0.480838953462215,0.325635212464546,0,"NULL","26.264643","0.523203","0.02","0.029","toothbrush","hygiene",0.74309,"hygiene","toothbrush",0.02,"2.9000000000000001E-2","4.0000000000000001E-3","3.8899999999999997E-2",16,3,"NULL","N","9","6","NULL","N","hygiene","toothbrush",0.02,0.029,0.004,"NULL","NULL",3,6,26.264643,0.523203,4038,28,27,26,2012,19,9,5
