TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP LDT RT,ELP LDT Z,ELP LDT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming
move,SWIFT,5,3.86,2.3,8.3,1,1,1327,331.75,JJ|NN,634.73,-0.65,0.97,unclassified,,0.018,0,7,0.18,625.454545454546,-0.236699305007658,1,672.354838709677,-0.245960840448919,1,39.9393939393939,0.20144895117389,-0.0303030303030303,-46.6360887096774,-0.0275681039940918,0
movement,BACKWARD,8,3.12,2.2,8.37,1,0,7472,1067.43,RB|JJ|NN,675.97,-0.33,0.97,supraordinate,,0.014,0,7,0.32,728.5625,0.175760235734235,0.96875,743.46875,0.0174174707920261,1,-23.59375,-0.0255364055661832,0.03125,-12.0625,-0.0478858031710957,-0.0625
movie,TWISTER,7,1.55,1.9,8.72,2,1,17461,2910.17,NN,685.16,-0.43,0.91,unclassified,,0.162,0,10,0.03,603.9375,-0.292272008341745,0.96875,724.677419354839,-0.146278103143721,1,44.4375,0.0818872022171814,0.03125,-45.5440860215053,-0.122398173834807,0
mud,STUCK,5,66.65,3.53,9.97,5,2,5690,1422.5,VB,638.88,-0.57,1,perceptual property,,0.064,0,18,0.32,700.71875,0.095451090679073,0.90625,652.645161290323,-0.117378626338398,0.967741935483871,-77.6875,-0.115068243318377,0.03125,41.7298387096774,0.0761342188640575,0.001008064516129
multiply,SUBTRACT,8,0.55,1.46,7.51,0,,8685,1240.71,VB,678.88,-0.42,0.97,category,,0.014,0,6,0.41,807.625,0.423359648017074,0.96875,720.939393939394,0.299064947414206,1,-86.875,-0.225452630088004,0,-1.39100684261984,0.146901771624911,-0.032258064516129
murder,ATTEMPT,7,19.12,2.99,10.64,0,,11500,1916.67,NN|VB,608.35,-0.61,1,fpa,,0.01,0,8,0.28,677.375,-0.0422016228934521,0.96875,692.21875,-0.12163695417256,1,-57.2459677419355,-0.154919368847397,-0.001008064516129,-41.75,-0.00537939923751832,0
murderer,VICTIM,6,47.73,3.39,9.36,0,,9871,1974.2,NN,651.03,-0.54,0.97,antonym,,0.03,0,20,0.43,572.935483870968,-0.16642894298721,0.967741935483871,741.1875,0.137593871380267,1,207.161290322581,0.968857665451527,0.032258064516129,33.070564516129,0.558188268515103,-0.161290322580645
muscle,ATHLETE,7,4.61,2.37,7.2,0,,14740,2456.67,NN,647.47,-0.46,0.91,unclassified,,0.021,0,18,0.06,632.515151515152,-0.174556193897182,0.96969696969697,741.451612903226,0.126751130562825,0.935483870967742,-0.483901515151501,0.188332131243765,-0.0634469696969697,-60.1788856304986,-0.197892920469093,0.0645161290322581
music,UNDERGROUND,11,12.02,2.79,9.39,0,,20869,2086.9,NN,687.12,-0.3,1,fpa,,0.027,0,15,0.03,560.3125,-0.441138297133094,1,692.03125,-0.119485070844396,1,66.5625,0.255306148520129,-0.0625,3.5625,0.174116726339144,-0.03125
mustache,DISGUISE,8,7.8,2.6,7.67,0,,10263,1466.14,NN|VB,670.47,-0.34,0.91,supraordinate,,0.02,0,15,0.12,723.96875,0.3599175018707,1,778.903225806452,0.805029256319668,0.838709677419355,3.75,0.111621547795679,-0.03125,12.6592741935484,-0.16783442021372,0.0987903225806451
