Input.word1,Answer.word1,Input.word2,Answer.word2,Input.word3,Answer.word3,Input.word4,Answer.word4,Input.word5,Answer.word5
Running,"Move fast, athlete, sprint, quickly",Pluto,"Planet, in the sky, solar system, space",Chemist,"Testing, chemicals, scientist, lab",Impatience,"No delay, immediate gratification, too eager",Gentleman,"Warm, gentle, good standing"
Running,"moving ones legs to take you from point a to point be as fast as possible, like walking but faster,",Pluto,"the ninth rock from the sun, which is no longer a planet but a ""sub-planet"" because it doesn't have an independent orbit",Chemist,a scientist who plays around with chemicals and their reactions performing experiments,Impatience,"the inability to wait for something calmly without going insane, in essence the exact opposite of patience.",Gentleman,"a refined male, he's the kind of person you would expect to hold the door open for you, well mannered"
Running,"sprint, jog",Pluto,"planet, small",Chemist,scientist,Impatience,not tolerant,Gentleman,"manners, ettiquette, male"
Running,"An activity, exercise, can be running to or from something (both ways it is tied to an emotion), uses legs, good cardio workout",Pluto,"used to be the ninth planet in our solar system, the ex-planet was small, blue and cold. It was also the name of the Roman god of the underworld. Pluto was the name of Mickey Mouse's yellow pet dog.",Chemist,"A person who works with and has an understanding of chemicals and their properties. May or may not wear a white lab coat, probably makes a lot of money.",Impatience,"Unwilling to wait, generally not a good trait to have, expects too much too quickly, could be from anxiety or excitement.",Gentleman,"Polite, classy, modest, considerate, puts others needs before his own, particularly kind towards women and children."
Running,"moving fast, in a race, moving for excerise",Pluto,"Is a planet, Is in the solar system, Is a disney character, is a character dog",Chemist,"a scientist, person who works with chemicals, creates new compounds",Impatience,"quick to decide, impulsive,  all options not considered",Gentleman,"person who considers others' feelings, a man, an adult, someone who respects other people"
Running,"exercise, activity, sport, Olympics",Pluto,"planet, space, far away",Chemist,"science, laboratory",Impatience,"antsy, restless",Gentleman,"kind, respectful"
Running,"Moving legs rapidly, moving quickly, leaping from foot to foot in a rapid manner",Pluto,"Pluto was a famous Greek philosopher and also the name for the former planet, now dwarf planet.",Chemist,person who performs experiments with chemicals in a lab or works with combining chemicals to achieve a goal,Impatience,"being anxious to start or do something, not prepared to wait, needing instant gratification",Gentleman,"a person, usually of the male gender, who follows rules of society and is generally considered to be a nice person."
Running,"a sport, faster than a walk, exercise",Pluto,"planet, disney character",Chemist,"mixes chemicals, very smart, educated",Impatience,"not wanting to wait, frustrated, without patience",Gentleman,"holds doors, wears fancy clothes, respected"
Running,"jogging, walking very fast, water, stream",Pluto,"former planet, Disney character, outerspace",Chemist,"scientist, working with chemicals",Impatience,"can't wait, now, today not tomorrow",Gentleman,"opening doors,nice, almost extinct"
Running,"fast paced gait, something that is on continuously,",Pluto,"small planet, a fictional dog",Chemist,"Someone who works with chemicals, a specific type of scientist",Impatience,"eagerness, unable to wait, in a state of rush",Gentleman,"someone with manners, treats with respect, has concern for other people, a man who carries himself in a dignified manner"
Running,"the action of running, like walking but much faster.",Pluto,"A dwarf planet, who's orbit is beyond Neptune's.",Chemist,"A scientist who works with chemicals. They make new compounts my mixing, burning melting freezing ect, chemicals.",Impatience,"A feeling of impatience, when waiting in a long line, and wanting it to move fast, when stuck behind a slow moving person and wanting to move fast. Wanting something to happen fast than it is.",Gentleman,"Saying ""Gentlemen"", can be greeting to a group of males.
A gentlemen, is a man, who has chivalry, is polite, and respectful."
Running,"jog, speed, moving away from something, leaving",Pluto,"small planet, dog from disney, space, new world,",Chemist,"doctor, druggist, lots of school, smart, brains",Impatience,"unalbe to wait, edgy, irked, restless, antsy,anxious",Gentleman,"adult, man, mr, male, person,"
Running,"exercise, fast movement, racing",Pluto,"small, outer space, planet, cold",Chemist,"a profession, practices chemistry, intelligent",Impatience,"rushed, hurry, annoying",Gentleman,"polite, man, chivalry, wealthy, courteous"
Running,"the activity of using legs to move faster, calories, burn",Pluto,"an old planet, dwarf, small",Chemist,"a scientist who works with elements and chemicals, periodic table, test tube",Impatience,"someone who can't wait, eager, fast",Gentleman,"someone who is classy and manly, man, suit"
Running,"walking extremely fast, a form of exercise",Pluto,"a body in space that used to be considered a planet,it used to be the furthest planet in the solar system",Chemist,"knowledgable about chemicals, works with chemicals in a lab",Impatience,"not able to wait for things to happen, want things to happen quickly",Gentleman,"a man who is polite and has manners, treats people people with respect"
Running,"faster than jogging, slower than sprinting, a type of exercise or an activity done for leisure",Pluto,"a planet, the last planet in the solar system, a dog from the disney coorperation that is owned by goofy",Chemist,"someone who deals with chemistry, works with chemicals, does experiments",Impatience,"unwilling to wait, anxious, antsy, opposite of patient",Gentleman,"caballero, a nice guy, a guy who does kind things for women, someone who is chivalrous"
Running,"is fast transportation on foot, helps in weight loss, is healthy, is fun, requires tennis shoes",Pluto,"used to be a planet, is icy, is very far away from the sun, is small",Chemist,"works in a lab, studies matter, is intelligent, is a scientist",Impatience,"involves no patience, restlessness, to not want to wait, to be ready for a new course of action",Gentleman,"a polite man, has manners, is old fashioned, is well educated, is noble"
Running,"is an activity, hard on knees, on a treadmill, outdoors",Pluto,"was a planet, is no longer a planet, small, rocky",Chemist,"is an occupation, intelligent, trained, educated, creates",Impatience,"is a quality, negative, prone to tantrums, comes from waiting too long",Gentleman,"is a type of person, respectable, polite, well-kept, well-spoken"
Running,"move quickly,",Pluto,"cartoon dog, former planet",Chemist,someone who practices chemistry,Impatience,not patient,Gentleman,a man who is chivalrous and respectful
Running,an action exercise,Pluto,a small planet,Chemist,a professional career,Impatience,cant wait,Gentleman,someone with manners
Running,"jogging, form of exercise, way to get away from something on foot quickly",Pluto,"former planet, Disney dog",Chemist,"scientist, test tubes, periodic table",Impatience,"shortness of temper, not easy going",Gentleman,"considerate man, man with an understanding of manners and customs"
Running,"action, moving fast across the ground, fear-induced",Pluto,"was a planet and now it's an asteroid, Disney dog named after it, named after the Roman god,",Chemist,"person, scientist, mixes potions, smart",Impatience,"quick, needy, rude",Gentleman,"kind, wealthy, manners, gentile"
Boundary,"A limit, usually used for describing land and borders",Scapegoat,A person or thing that takes blame,Another,One more person or thing,Husky,A type of dog that lives in cold weather,Pronoun,A noun that refers back to a noun you used prior
Boundary,"When you should stop, where the line is drawn",Scapegoat,"Someone used to blame stuff on, unfair, unlucky",Another,"One more, not yourself, somebody else or something else",Husky,"A dog or when someone is large and gruff, chunky",Pronoun,"Has an ly on the end a lot, describes a noun"
Boundary,border: rule: line,Scapegoat,a person who is bullied: sacrifice: one who takes the blame,Another,more than one: second: in addition to,Husky,An oil refinery : a type of dog: big: fat: heavy: tough: a brand of clothing,Pronoun,"I, me mine:  a word that stands in for a noun"
Boundary,"limit, frontier, borders",Scapegoat,spy,Another,different,Husky,"fat, strong, bigger than the rest",Pronoun,"He, she, it, they"
Boundary,"line of demarcation; line between countries or states; division between ownership; line that should not be crossed, red line",Scapegoat,"One who is given or takes the blame, from Judaism when goats were sacrificed to make up for a person's sins, usually someone who is weaker than others and takes the blame undeservedly",Another,"one more, and additional, plus, again",Husky,"big or large or thick; broad or built person, well muscled, or a type of black and white dog good in arctic places",Pronoun,"part of speech referring to a person or thing definitely or indefinitely,instead of using the thing's formal name, smooths conversation, singular or plural, male or female"
Boundary,"Edge, limit, line",Scapegoat,"Someone set up to take the blame for something, victim",Another,"someone else, additional, other",Husky,"Large, overweight, dog, Alaska",Pronoun,"in place of other noun, he, she, it"
Boundary,"A limit or demarcation, sometimes visible, other times imaginary, often denoted on a map",Scapegoat,A causeless victim who often does not have the ability to defend themselves and is not related to the issue at hand,Another,A subsequent object in a series or more existentially referring to another thinking being,Husky,"A type of dog, often confused with malamutes. Have the appearance of sled dogs but are often smaller than them. Very loyal pets, do not do well in warm environments",Pronoun,A word that can be used in place of a noun while keeping grammatical structure intact
